job_id,title,company_name,formatted_experience_level,formatted_work_type,location,description,experience_bucket
3889404560,Procurement Specialist,,,Part-time,United States,"We are seeking a highly organized and detail-oriented individual to join our team as a Procurement Specialist. In this role, you will be responsible for overseeing the purchasing process and ensuring that all goods and services are procured efficiently and cost-effectively. The Procurement Specialist will play a crucial role in maintaining positive relationships with suppliers and ensuring that all procurement activities comply with company policies and regulations.
ResponsibilitiesConduct market research to identify potential suppliers and evaluate their suitability for our organization's needs.Collaborate with internal stakeholders to determine procurement priorities and develop strategies for sourcing goods and services.Obtain and review price quotes from various suppliers to ensure competitive pricing.Negotiate contracts and terms with suppliers to secure favorable pricing and delivery conditions.Manage the procurement process, including issuing purchase orders, tracking deliveries, and resolving any issues or discrepancies.Monitor inventory levels and forecast future demand to ensure timely procurement of goods and services.Review and analyze supplier performance to identify opportunities for improvement and cost savings.
RequirementsBachelor's degree in business administration, supply chain management, or a related field.Proven experience working in procurement or supply chain management.Strong knowledge of procurement principles, practices, and regulations.Excellent analytical and problem-solving skills.Proficient in using procurement software and MS Office Suite.Strong negotiation and communication skills.Ability to work well under pressure and meet tight deadlines.Detail-oriented with strong organizational skills.",MISSING
3902741248,Senior Project Manager - Medical Device R&D,Philips,,Full-time,"Pittsburgh, PA","Job Title
Senior Project Manager - Medical Device R&D

Job Description

Responsible for End-to-End leading of a project - from the initial start until the introduction in the Market, or internal delivery, by gaining agreements on and achieving project scope and objectives while balancing schedule, cost, quality, requirements and keeping abreast of developments in project management tools and processes as well as technical domain. Manages projects ensuring execution is in line with project guidelines and directives.

Your role:
Work with Project Sponsor to assure project and program objectives are defined appropriately.Take on End to End ownership of complex and high impact Respiratory Care programs within S&RC with high visibility and importance to the Business.Prepares and implements programs in multi-discipline areas (including Quality and Regulatory, R&D, Operations, Product Marketing) in accordance with agreed goals on quality, time, cost, and staffing.Navigates through the complexity of programs by coordinating between the sub-projects, multiple sites, and matrix organization.Ensures team is staffed effectively and utilized to the fullest potential to most efficiently complete projects.Establishes strong operating mechanisms to track progress, identify issues, overcome obstacles, and define recovery plans.Provides ongoing status reports to the business leadership team, highlighting opportunities and risk mitigations.Works with Quality and Regulatory to ensure the program is fully compliant with the Quality System, FDA design controls, and global regulatory agency requirements.Developing Entrepreneur Project Management (EPM) competencies, deploy best practices from Philips to bring effective strategic leadership in program management.Managing the obsolescence and product issues.Effectively resolving customer complaints or production issues.Prepare, plan, track and coordinate cross functional teams located across geographies and manage project deliverables.Accountable for overall delivery of project in line with QMS and PRP process as per the agreed multi-site Quality Agreement.Managing and Reporting of key KPIs to senior management.Coaching and supporting junior team members.Ensuring business continuity and revenues.

You're the right fit if: 
Have a Bachelor's degree in a technical field (E.G. Mechanical, Electrical, Software, Industrial Engineering or equivalent). Master’s degree preferred.Minimum 12 years’ experience in a high-tech industry / MedTech with a focus on working with suppliers for design changes & product launches.PMP certification highly desired.Experience in technical project management.Experience in design cycle of high-tech electronic components, assemblies, and/or electro-mechanical systems.Strong project management skills are a must with ability to lead teams and influence cross-functional stakeholders.Excellent presentation, communication and negotiation skills, across functions and organizational layers; proven ability to manage relationships at all org levels.Knowing and understanding broad business perspective.Knowledge of project management strategies and tools.Demonstrated ability in working in a complex/global environment.US work authorization is a precondition of employment. The company will not consider candidates who require sponsorship for a work-authorized visa, now or in the future.You must be able to successfully perform the following minimum Physical, Cognitive and Environmental job requirements with or without accommodation for this position.

About Philips

We are a health technology company. We built our entire company around the belief that every human matters, and we won't stop until everybody everywhere has access to the quality healthcare that we all deserve. Do the work of your life to help improve the lives of others.

Learn more about our business.Discover our rich and exciting history.Learn more about our purpose.Read more about our employee benefits.

If you’re interested in this role and have many, but not all, of the experiences needed, we encourage you to apply. You may still be the right candidate for this or other opportunities at Philips. Learn more about our commitment to diversity and inclusion here.

This requisition is expected to stay active for 45 days but may close earlier if a successful candidate is selected or business necessity dictates. Interested candidates are encouraged to apply as soon as possible to ensure consideration.

Philips is an Equal Employment and Opportunity Employer/Disabled/Veteran and maintains a drug-free workplace.

",MISSING
3904927484,"Retail Sales Associate, Old Orchard - Full Time",Macy's,,Full-time,"Skokie, IL","Please note – currently this role may not require an in-person interview and if you are selected for this role you will receive a job offer via email. Please watch your email closely for updates from us!

Are you ready to bring your amazing self to work?

At Macy's, Inc., we're on a mission to create a brighter future with bold representation for all. This is our Mission Every One. We know that each person here is unique. We respect and invest in each individual to create growth, pride and satisfaction. If we are able to bring our whole selves to work, it translates into a more abundant and wider array of ideas and energy for all to benefit from. Our success will be built on amazing colleagues, working together.

Job Summary

As a Retail Sales Associate, also known as a Generalist colleague, you are an integral part of bringing the Macy’s magic, and the Macy’s shopper is your highest priority. Your close attention to customer preferences and the expertise you develop in Macy’s merchandise and services will let you create exceptional experiences for every customer you encounter. As you help your team meet their sales goals through delivering consistently superior service, your positive, welcoming presence will be felt throughout your area. From the sales floor to the fitting rooms to product presentations, you will be part of a fun, inclusive team that rises to every challenge.

What We Can Offer You

An inclusive, challenging, and refreshingly fun work environment Empowerment to perform impactful work with tangible results Coverage across medical, dental, vision, and retirement Employee Assistance Program (mental health and financial literacy resources) Fully-Funded education benefits may include 100% of tuition, books, and fees Merchandise discounts Colleague Resource Groups (CRGs), give-back/volunteer opportunities

What You Will Do

Customer Service: Master store products, services, loyalty programs, and Macy’s sales systems and use knowledge to help customers find what they need and suggest additional items.Sales Support: Develop customer relationships to grow business and expand our client base. Respond to customer requests for additional merchandise or other assistance, including sharing how to use an electronic device to shop and compare. Assist in locating and pulling merchandise to fulfill digital customer orders.Merchandise Organization: Maintain department recovery standards, including selling floor and fitting rooms.Update Pricing and Signage: Deliver optimal merchandise execution presentation, ensure accurate merchandise pricing, and process markdowns in a timely and accurate manner.

Who You Are

Focused on upholding Macy’s dedication to fulfilling ideals of diversity, inclusion and respect that our company aspires to achieve, every day in every store and office, with every customer and associateFlexible availability, including days, evenings, weekends and holidays with regular, dependable attendance and punctualityEnjoy meeting people, learning about them, and sharing information Resourceful and eager to start a new venture and can adapt to changing priorities; you can work on your own but are great with team dynamicsYou can handle electronic devices with no problemNo Education or Experience Required

Essential Physical Requirements

Prolonged periods of standing/walking around the store or department Reach with hands and arms, use hands to press, handle, and feelOccasionally required to lift and/or move up to 25 lbs., climb ladders, stoop, kneel, crouch, and crawlRequires close vision, color vision, and ability to adjust focus

About Macy’s

Now is an exciting time for a Macy’s career as we continue to focus on creating exciting and memorable experiences for every Macy’s customer, whether their journey starts online or in the store. Our opportunities in Sales, Merchandise, Operations, Customer Service, Warehouse, Marketing, and other areas let you express your creativity and commitment to excellence, grow your career, and make a difference to your Macy’s colleagues and customers.

Bring your creativity, energy, and ideas to the Macy’s team – Apply Today!

STORES00

This position may be eligible for performance-based incentives/bonuses. Benefits include 401k, medical/vision/dental/life/disability insurance options, PTO accruals, Holidays, and more. Eligibility requirements may apply based on location, job level, classification, and length of employment. Additional benefit details are available at macysJOBS.com.",MISSING
3900975579,Family Medicine Physician ,Sutter Health,,Full-time,"Modesto, CA","Gould Medical Group, in partnership with Sutter Health, is looking for a BE/BC Family Medicine physicians in Modesto, CA.
Sutter Health-affiliated Gould Medical Group is a growing, approximately 400 provider multi-specialty group located about two hours east of San Francisco, California. Our communities offer quick access to the bay area as well as other hot spots such as Napa Valley, Yosemite, and Lake Tahoe.
Organization: Gould Medical Group
Position Details:Starting base salary: $285,000Two-year salary guaranteeLoan or mortgage assistance, up to $200,000Residency stipend availableRVU based compensation model starting in year 2Sign-on bonusUp-to $50,000+ RVU Bonus potential during guaranteeAdult and pediatric patient populationFlexible scheduling100% outpatientAverage of 20 - 25 patients per day in clinicAdditional work available in Urgent Care (possible if interested)If interested, teaching opportunities possible in 2025. Currently going through accreditation for Family Medicine.EHR: EpicStable and growing group
Standard Benefits:Annual 12.0% 401(k) giftTwo-year shareholder trackAnnual CME allowanceFull health, dental, vision, life, disability insuranceGroup paid malpractice and tail coverageAnnual profit sharing for shareholdersIndividual Performance BonusRelocation assistance
Area Details:Close proximity to the Bay Area but dramatically lower cost of livingShort driving distance to Yosemite, wine country, Lake Tahoe, MontereyCentrally located with quick access to skiing, hiking, surfing, and entertainment venues of various typesRapidly growing communitiesExcellent school optionsAverage of 260 days of sunshine annually",MISSING
3894912937,Ecommerce Manager,Fireside,,Contract,"Jacksonville, FL","Fireside is an award winning digital consultancy focusing on driving revenue for high growth ecommerce brands, through intense focus on Conversion Rate Optimization, Customer Retention, and Email Marketing. We focus heavily on culture and community. If you are looking for a flexible work schedule, averaging approximately 25-35 hours per week, working remotely but also alongside a dedicated and collaborative team, then this role may be right for you!
This is the Right Fit for you if:You are highly comfortable analyzing websites, landing pages, and user funnels and you’re quick to identify areas of conversion opportunities.You are able to marry qualitative and quantitative metrics alongside UX best practices and knowledge of the competitive landscape to formulate strategic insights and actions to strategically optimize conversion rate for our clients.You roll up your sleeves to execute effectively, and iterate quickly with A/B testing and experimentation.You are a highly analytical person with a proven track record of driving and accelerating revenue growth to increase retention within customer segments.You’re passionate about ensuring our client’s customers become customers for life and are focused on increasing customer LTV.You have hands-on experience developing, planning, launching, and analyzing customer retention campaigns and are obsessed with customer lifecycle analytics.
You Also Love Working on:Formulating proposals based on data which could include: building a testing agenda, implementing quick wins or onboarding a new technology platform.Working closely with other teams such as the retention division leads to ensure optimization strategies encompass all facets of digital marketing efforts including onsite and email strategy.Monitoring live tests including reporting & analysis.Translating client deliverables to development partners and vice versa.Partnering with our clients to understand primary KPIs, goals and objectives.Leading client engagements with thought leadership, proactiveness and a hunger to drive success.Developing strategy and leading the execution of the Retention marketing and Conversion Rate Optimization programs across email, push, SMS, and CRM marketing initiatives.Partnering cross-functionally to execute personalized customer experiences and segmentation programs that drive customer engagement and repeat conversion.Defining customer segmentation, performing cohort analysis, measure and regularly.Identifying and proposing opportunities to optimize customer retention and loyalty programs for each client based on clear understanding of client goals and needs.Analyzing site metrics and sales information to identify opportunities to increase sales and site conversion.
Experience Required:5-7+ years in user experience role and/or lifecycle marketing role, including at least 2 years in an e-commerce, direct-to-consumer role.Ability to multi-task and tackle challenges that differ client to client, quickly and thoughtfully.You have a critical understanding of the levers and tools to use in GA4, Shopify and Klaviyo to help assess, define and optimize your strategic marketing plan.Familiarity with other analytics or attribution platforms like Daasity and Triple Whale are a plus. Ability to work with a diverse group of stakeholders.Strong data background and experience with brand strategy.
",MISSING
3903809674,"Insider Risk Analyst (Remote, MST & PST)",CrowdStrike,Entry level,Full-time,"Cheyenne, WY","#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.

About The Role

The Insider Risk Analyst is a member of the CrowdStrike Chief Security Officer’s Global Security team and will play a key role in the maturation of the Insider Risk Program (IRP). The IRP is seeking a creative, collaborative, and motivated security professional to enhance our security posture to better protect CrowdStrike from sophisticated threats. This position reports to the Manager, Global Security - Risk & Facility Security Officer and will be responsible for a wide range of functions to ensure the protection of sensitive CrowdStrike information. You will also support the company’s Industrial Security Program. The position will work closely with partners in Information Security, Human Resources, Legal, Information Technology, and other business units to support and improve the IRP.

CrowdStrike is looking for somebody with a passion for insider risk as well as for risk management, counterintelligence, and national security.

What You’ll Do

The primary responsibility of this position is to identify potential threats to CrowdStrike and its operations from internal and external actors while operationalizing strategies to mitigate those threats in order to protect CrowdStrike’s workforce, assets, customers, and reputation.

Analyze and brief identified risks and vulnerabilities to a variety of audiences Perform detailed and comprehensive investigations and summarize findingsDevelop and deploy mitigation strategies such as security awareness materials, newsletters, case studies, and other communicationsLead outreach and risk management efforts involving a variety of stakeholdersProvide support to the Industrial Security ProgramStay up-to-date on the latest industry and regulatory developments related to insider risk in order to foster their integration into CrowdStrike internal processes Support general Insider Risk and Global Security operations

What You'll Need

2-5 years of experience in an insider threat/risk mitigation, intelligence analysis, corporate security, government security, or similar roleExceptional written and oral communication skills, to include conducting employee interviews and writing reportsKnowledge of and experience with insider threat/risk best practicesStrong computer skills and familiarity with cybersecurity conceptsPractical experience advising team leaders on security policy and guidelines, including executive-level presentation skillsProficiency in open-source intelligence (OSINT) and threat intelligence toolsExcellent problem solving, critical thinking, and analytical skills with the ability to communicate concepts to all audiencesDemonstrated ability to manage projects and establish rapport while building relationships with team members across all levels of the organizationProven ability to work independently with motivation, efficiency, and flexibility as well as willingness to work occasional nights and weekendsUS Citizenship with the ability to obtain a US Government security clearance due to access requirements

Bonus Points

Experience in the USG, DOD, Intelligence, or defense contractor communityExperience conducting fraud, counterintelligence, and other investigations Knowledge of the NISPOM and DCSA regulationsPractical experience developing, implementing and administering security education, training and awarenessWorking knowledge of global legal and privacy regulationsExperience in a remote-first environment

Education

Bachelor’s degree in a related field or relevant military experience (years of experience may be substituted in lieu of a degree)Relevant certifications or training courses

This role will require the candidate to periodically undergo and pass additional background and fingerprint check(s) consistent with government customer requirements.

Benefits Of Working At CrowdStrike

Remote-first cultureMarket leader in compensation and equity awardsCompetitive vacation and flexible working arrangements Comprehensive and inclusive health benefitsPhysical and mental wellness programsPaid parental leave, including adoption A variety of professional development and mentorship opportunitiesOffices with stocked kitchens when you need to fuel innovation and collaboration

We are committed to fostering a culture of belonging where everyone feels seen, heard, valued for who they are and empowered to succeed. Our approach to cultivating a diverse, equitable, and inclusive culture is rooted in listening, learning and collective action. By embracing the diversity of our people, we achieve our best work and fuel innovation - generating the best possible outcomes for our customers and the communities they serve.

CrowdStrike is committed to maintaining an environment of Equal Opportunity and Affirmative Action. If you need reasonable accommodation to access the information provided on this website, please contact Recruiting@crowdstrike.com , for further assistance.

CrowdStrike participates in the E-Verify program.

Notice of E-Verify Participation

Right to Work

CrowdStrike, Inc. is committed to fair and equitable compensation practices. The base salary range for this position in the U.S. is $65,000 - $110,000 per year + variable/incentive compensation + equity + benefits. A candidate’s salary is determined by various factors including, but not limited to, relevant work experience, skills, certifications and location.

Expected Close Date of Job Posting is:06-18-2024

",Entry level
3902849050,Certified Nursing Assistant (CNA),Life Care Centers of America,Entry level,Full-time,"Port Orchard, WA","Position Details

Employment Status: Full-TimeSalary: 21.00 - 25.00 HourlyShift: Day/Evening

New CNA graduates are welcome to apply!

Not only is there a new wage scale, but we offer a $500 sign-on bonus!

Come and grow with us! We are affiliated with Life Care Centers of America, which is a privately owned 47-year industry leader in healthcare with more than 200 locations across the U.S. We are currently seeking a qualified Certified Nursing Assistant (C N A) to add to our team of professionals. We believe that every job in our company plays a vital role in our continued growth and commitment to provide quality patient care. We believe in providing our associates with opportunities to help them reach their maximum potential through working with strong multidisciplinary teams. We invite you to come and join our growing team.

As an important member of our interdisciplinary team, the CNA is responsible for providing routine daily nursing care to assigned patients in accordance with all applicable laws, regulations, and Life Care standards. Your daily responsibilities will be to deliver direct care to patients (bathing, feeding, grooming, toileting, etc.) as directed. Join our team and help make a difference in the lives of our patients and family members.

Education, Experience, And Licensure Requirements

High school diploma or equivalentGraduate of a State-approved CNA programCurrently registered/licensed in applicable State. Must maintain an active license in good standing throughout employment. One (1) year skilled nursing experience preferredCPR certification upon hire or obtain during orientation. CPR certification must remain current during employment. 

Specific Job Requirements

Make independent decisions when circumstances warrant such actionExhibit excellent customer service and a positive attitude towards patientsCommunicate and function productively on an interdisciplinary teamMaintain professional working relationships with all associates, vendors, etc. 

An Equal Opportunity Employer",Entry level
3904951294,"Store Assistant, Full Time",Circle K,Entry level,Full-time,"Columbus, IN","Store 4702239: 3470 W 450 S, Columbus, Indiana 47201

Availability - Shift/Days

Flexible Availability

Assistant Manager

We want you to join our team as an Assistant Manager. If you have the desire to be challenged, work in a fast-paced, fun environment and create a career in management – look no further.

As An Assistant Manager, You Will Enjoy

Medical, Vision, Dental, & Life Insurance/Short & Long Term DisabilityFlexible SchedulesWeekly PayPaid VacationsLarge, Stable EmployerFast Career OpportunitiesWork With Fun, Motivated PeopleTask VarietyPaid Comprehensive Training401K With a Competitive Company MatchPerformance and Incentive BonusesFlexible Spending/Health Savings AccountsTuition Reimbursement 

Your Key Responsibilities

You will assist the Store Manager with oversight of the Stationstore operations. You’ll help with hiring, supervising and working with the staff to accomplish daily tasks, bookkeeping and merchandising. You will help to maintain our high standards and provide fast and friendly service to our customers. Provide regular and predicable onsite attendance.

Our food program has set the bar high and you’ll be executing that too. You care about your customers and set an example for the rest of your staff. You display a sense of urgency, patience and leadership.

You’re Good At

Leading a team of employees/managementRecruiting, interviewing, and hiringDelegation and follow-upTeaching and motivating othersPlanning and organizingCommunicating your plans and ideasCash-handling and bookkeepingProblem solvingAdvocating and empathizingSafety and Security 

Great If You Have

Retail experienceSupervisor or management experienceRecruiting/hiring/interviewing skillsExperience handling foodHigh School/College Degree(s) 

Physical Requirements

Ability to stand and/or walk for up to 8 hoursLift and/or carry up to 30 pounds from ground to overhead up to 30 minutes in a shiftOccasionally lift and/or carry up to 60 pounds from ground to waist levelPush/pull with arms up to a force of 20 poundsBend at the waist with some twisting up to one hour a shiftGrasp, reach and manipulate objects with hands. This handwork requires eye-hand coordination, and may require climbing a ladder to store and retrieve materials or place and remove signs

Circle K is an Equal Opportunity Employer.

The Company complies with the Americans with Disabilities Act (the ADA) and all state and local disability laws. Applicants with disabilities may be entitled to a reasonable accommodation under the terms of the ADA and certain state or local laws as long as it does not impose an undue hardship on the Company. Please inform the Company’s Human Resources Representative if you need assistance completing any forms or to otherwise participate in the application process.

Click below to review information about our company's use of the federal E-Verify program to check work eligibility:

In English

In Spanish

R421304",Entry level
3906232029,Electrical Assembler,CONFLUX SYSTEMS,Entry level,Contract,"Wendell, NC","Here are the job details for your review:  
Job Title: Assembler: ElectricalJob Location : 7000 Siemens Rd, Wendell, NC 27591Pay Rate: $21.36/HR on W2 Client Name : Siemens Shift Hours : 3:00pm – 11:30pm M-F (2nd shift)

Job Description:Duration: 90 days with ability for permanentHours of the Shift : 3:00pm – 11:30pm M-F (2nd shift)Please note: training will be done on 1st shift (one to two months) prior to being moved to the 2nd shiftAn Electrical Assembler is responsible for performing sub-assembly wiring and final assembly wiring duties on products for Low and Medium Voltage Electrical Distribution Equipment such as LV Motor Control Centers, MV breakers, MV switchgear and Motor Control Centers, DC Electrical Vehicle Chargers and Solar Inverters.
External Job Description:Here at Siemens, we take pride in enabling sustainable progress through technology. We do this through empowering customers by combining the real and digital worlds. Improving how we live, work, and move today and for the next generation! We know that the only way a business thrive is if our people are thriving. That’s why we always put our people first. Our global, diverse team would be happy to support you and challenge you to grow in new ways. Who knows where our shared journey will take you?Join our SI team of about 380,000 colleagues around the globe and help us create environments that care.Siemens Smart Infrastructure intelligently connects energy systems, buildings and industries. We help our customers to thrive, communities to progress and support sustainable development to protect our planet for the next generation.Electrification & AutomationThe Electrification & Automation (E&A) Business Unit offers the full range of energy distribution systems and solutions for all markets and through all sales channels. We provide reliable power distribution grids of today while investing in our Future Grids portfolio to create the power distribution grid of the future.We are looking for a Electrical Assembler- 2nd shift (3:00p - 11:30p). This position will be based in Wendell, NC.An Electrical Assembler is responsible for performing sub-assembly wiring and final assembly wiring duties on products for Low Voltage Electrical Distribution Equipment such as LV Motor Control Centers.
Roles & Responsibilities:Perform sub assembly wiring and final assembly wiring work to the highest level of accuracy and workmanshipStrong team playerWork with large power cables including correct method of crimping connectorsPerform proper stripping and crimping techniquesAssemble components on panels per given layout or drawingsYou’ll win us over by having the following qualifications:
Basic Qualifications:1+ years’ experience performing mechanical assembly (build) of product1+ years’ experience with commercial or industry wiringMust have the ability to read and work with schematic drawings/layouts/wire lists with minimal to no supervisionExperience working with standard hand and power tools both pneumatic and battery operated and wiring tools such as hand crimpers, wire strippers, and accurately read a tape measure.Must be a strong team playerConform with Environmental and Occupational Health and Safety policy and Management System and strive to continual improve the intended outcomes of the Management System.Applicants must be legally authorized for employment within the United States without the need for current or future employer - sponsored work authorization.
Preferred Qualifications:High School Diploma or GEDPossess some knowledge on electrical clearancesAssociates Degree or technical training in area of responsibilityPlease note: training will be done on 1st shift (one to two months) prior to being moved to the 2nd shift

Best Regards
 Md Rizwan | US IT Recruiter (O) 678-459-2459 EXT 1872. (M) 678-528-4405  Fax : 615-469-3238 | rizwan@confluxsystems.com 11539 Park woods Circle, Suite 302, Alpharetta, GA, 30005 An ISO 27001 and 2013 Certified & Minority Business Enterprise (NMSDC)",Entry level
3905301082,Electrical Engineer/Electrical PE,JTS,Entry level,Full-time,Greater Idaho Falls,"POSITION: Electrical Engineer STATUS: Full-Time, Exempt ABOUT US: Founded in 2006, Johnson Thermal Systems (JTS) is the largest and leading provider of Power Packaging, Power Distribution Centers, and Industrial Refrigeration Units. We are proud to be American made as all equipment is designed and manufactured by our team located in Caldwell, Idaho. As a company, we value quality service and dedication to ensure every job is done right. We believe great work comes from a strong set of values; you can expect to be a part of a workforce committed to generating a difference. JOB SUMMARY: The Electrical Engineer has a creative role in designing and testing electrical equipment and systems. This position will convert custom specifications into drawings and schematics for the manufacturing process of unique customer electrical equipment. The Electrical Engineer will utilize SolidWorks and AutoCAD software. This individual will be the principle point of contact and provide field support for the installation and maintenance process to ensure it conforms with customer and industry standards and regulations. This person will play a crucial role in our client's satisfaction and success. WHAT JTS OFFERS: Competitive salary Weekly pay with Direct Deposit Generous PTO programComprehensive Health/Dental/Vision Insurance that is affordable.Fitness BenefitCareer Development to keep you on the cutting edge of technology.A fun, fast-paced culture with company events and professional growth opportunities. 9 paid holidays. 401k with an annual employer match of 3%Boot Allowance Employee Assistance ProgramJOB RESPONSIBILITIES: Prepare technical drawings and specifications of electrical systems to ensure that installation and operations conform to quality standards and customer requirements. Develop designs for various electrical systems, switchboards, and components such as circuits, transformers, and power distribution systems. Create circuit diagrams for the manufacturing process. Create and manage Bills of Materials (BoMs) Test and evaluate electrical equipment to determine that it meets industry and quality standards and performance requirements. Ensure compliance with safety regulations and codes when designing and installing electrical systems. Conduct research to identify new trends, technologies, and techniques that could improve electrical systems or equipment. Collaborate and communicate with other departments and engineers to ensure compliance with industry and safety regulations, while overseeing that the projects meet customers' needs. Provide technical support to ensure proper installation and maintenance of electrical systems. Investigate and troubleshoot customer issues and concerns in an efficient and professional manner.REQUIREMENTS: BS degree in electrical engineering or related engineering field; advanced degree is desirable. 4 plus years of experience in an engineering capacity, with progressively more responsible engineering project assignments Professional Engineering (PE) License Applicants without a PE license may apply but will be considered for the position of Electrical Engineer. Applicants with a PE will be considered first.Experience with electrical equipment and systems design and construction materials, techniques, and procedures.Advanced technical knowledge of manufacturing processes, electrical circuit design and testing proceduresKnowledge of National Electrical Code (NEC), the National Safety Code (NSC), Uniform Building Code (UBC), International Building Code (IBC), national fire codes, and other construction codes; fire/life/safety systems Proficient knowledge in computer-aided design (CAD) and SolidWorks software, programming languages, or other tools. Valid driver's license and acceptable motor vehicle record.SKILLS AND ABILITIES:Weigh the short- and long-term implications of alternate engineering solutions when making decisions. Work with clients and participate with other engineers in the development of project plans of moderate complexity. Identify issues, develop possible solutions, prepare accurate documentation, and facilitate resolution of issues identified during the build process. Provide and document technical information to peer engineers, project team members, and engineering management to provide updates and/or influence decisions on technical issues. Strong organizational and multitasking skills. Ability to work individually and in a team environment. Excellent verbal and written communication skills. High degree of accuracy and attention to detail. JTS is proud to be an equal opportunity employer. Powered by JazzHR",Entry level
