job_id,title,company_name,formatted_experience_level,description,noise_bucket
91700727,Economic Development and Planning Intern,Downtown Raleigh Alliance,,"Job summary:The Economic Development & Planning Intern will provide valuable support to the Economic Development & Planning team, with a specific focus on urban planning and transportation initiatives during the upcoming summer semester. This role is ideal for a local graduate or undergraduate student with a keen interest in economic development, city planning, and a passion for contributing to the growth of a vibrant downtown community.
Responsibilities/Essential Functions:Support the Planning & Transportation Manager and DRA Economic Development &Planning team in major planning and advocacy initiatives, such as the ongoing Downtown Economic Development Strategy.Assist in coordination efforts related to transportation planning and major downtownprojects such Raleigh’s first Bus Rapid Transit line.Contribute to the creation of reports, including the annual State of Downtown andquarterly market reports.Assist in data collection, analysis, and maintenance of downtown data.Support small business and retail recruitment programs.Participate in stakeholder meetings and community engagement efforts.
Qualifications:Currently enrolled in a graduate or undergraduate program with a focus on urbanplanning, economics, business, research, public administration, geography,sustainability, or related field.Strong interest in economic development, city planning, and community revitalization.Excellent analytical and research skills, with a keen eye for detail.Proficiency in Microsoft Office Suite and data analysis tools.Effective communication skills, both written and verbal.
Benefits:Gain hands-on experience in economic development and city planning.Work closely with a dynamic and experienced team of economic development andplanning professionals.Networking opportunities with local stakeholders and professionals.Compensation for your contributions
Physical Requirements:Prolonged periods sitting at a desk and working on a computer.Must be able to lift up to 15 pounds at times.Must be able to access various departments of a given location.
Position Environment: This is an in-person role, with the candidate reporting to the Downtown Raleigh Alliance offices at 333 Fayetteville Street, Suite 1150, Raleigh NC. Office space will be provided onsite at DRA and the intern may also be in the field providing support to our Downtown Raleigh community. DRA will provide parking for regular or required on-site work. DRA will also provide the option of transit passes for regular or on-site work. Travel outside of periodic travel to and from Downtown Raleigh and the DRA office will not be required of this position.
Other duties:Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.
Compensation:This position is a temporary, part-time position, at approximately 12 to 20 hours a week and limited to a maximum 14-week term, aligned with the summer university calendar. Anticipated pay range is $14 - $20 an hour commensurate with qualifications and prior experience. This position is non-exempt and not eligible for benefits at DRA.
How to Apply:Please submit your resume and cover letter highlighting your interest in economic development and planning to marysell@downtownraleigh.org. Applications will be accepted until Monday, May 6th. Interviews will be scheduled on a rolling basis.
EEO statement: We are an equal employment opportunity employer and do not discriminate against any person because of race, color, creed, religion, national origin, political affiliation, sex, gender identity or expression, sexual orientation, age, disability, genetic information, or other reasons prohibited by law (referred to as ""protected status""). This nondiscrimination and opportunity policy extends to employment, use of all company facilities, membership, board service and leadership, volunteerism, participation in any of the organizations programs or services and all employment actions such as promotions, compensation, benefits and termination of employment.",entry_title_not_entry
2735151240,Intern- Business Analytics,LT Apparel Group,,"Summer Internshipadidas & Carhartt kids DivisionLT Apparel- Greensboro, NC Location
We are a leading apparel company that is constantly innovating and seeking new ways to improve. We are looking for a bright and motivated intern to join our team and help us streamline our costing process and build powerful predictive models.
Responsibilities:· Partner with the global sourcing team to review and analyze current costing models and identify areas to improve process efficiency.· Build and implement predictive product costing models.· Conduct data analysis to identify trends and patterns in material and production costs across various sourcing regions.Qualifications:· Candidate must be currently enrolled in an MBA program with a focus in data analytics.· Proven track record of academic excellence, with a strong understanding of data analysis, modeling, and visualization techniques.· Familiarity with data visualization tools (e.g., Tableau, Power BI).· Expertise in Microsoft Excel, including advanced formulas and functions.· A passion for working with data and an ability to translate complex information into actionable insights.· Excellent communication and interpersonal skills, with the ability to work effectively in a team environment.· A creative and innovative approach to problem-solving is a plus.
What we offer:This internship offers a unique opportunity to gain valuable experience in the fast-paced world of apparel manufacturing and data analysis while working with two established brands. You will work alongside industry experts in both sourcing and data, learning from the best in the business. We provide a competitive internship stipend and a fun and collaborative work environment.To Apply:Please submit your resume to catherine.lim@ltapparel.com.",entry_title_not_entry
3040487795,Digital Marketing Intern,Lead Lab,,"We are looking for a creative, self-motivated marketing student with strong communication skills to join our small but mighty digital marketing team as an intern this summer. This paid internship is a 12-week program that will allow you to work directly with our team on day-to-day tasks and deliverables. This internship will primarily focus on organic marketing efforts. 
Your day to day will look like…Managing social media content calendarCreating engaging social media postsDesigning and executing monthly newslettersCrafting compelling blog postsProducing short-form videos for TikTok, Facebook and InstagramContributing to web design efforts
Who we areWe are a digital marketing and lead generation company based in Redmond, WA. We generate online leads for clients using paid advertising strategies. In addition to our lead generation efforts, we support clients in social media marketing, web design, email marketing campaigns and more. On a typical day, you can find us: working on copy and creative, developing ad campaigns, discussing new marketing trends and topics, creating landing pages and diving into reports and analytics.
We take our work seriously, but never ourselves. We help our people grow. Personal growth and professional development is more than a mantra. We give our team members new opportunities to learn at each step. We also let people focus on what they are good at.
Who you areYou’re a self-starter who knows how to take ownership and initiative. You’re a strong writer and effective communicator. You’re eager to learn new things and you’re willing to think outside the box. You’re equal parts creative and critical-thinker. You can switch gears quickly and you enjoy a good challenge. You’re ready to learn new things, but you also bring new ideas to the table! You have a good sense of humor and a strong grasp on GIF culture (a vital component to communication on Slack)Bonus points: You have a Goodreads account (kidding… kind of)
Logistics12-week program (beginning May-June depending on your schedule)25 hours/week$25/hrHybrid in-person/remote schedule (option to be fully remote)Must be a full-time WA or SC resident
How to Apply?Send us your resume along with your top three strengths to support@theleadlab.us - no cover letter needed!",entry_title_not_entry
3478651125,Photonics Layout Intern,Axalume,,"Job descriptionAxalume developed proprietary technologies that combine silicon photonic circuits with silicon electronics to solve looming interconnect bottlenecks for servers, data centers, and high-performance computing and networking systems. As a new, fabless semiconductor startup, our technology has been critically evaluated and hailed by commercial, academic, and government institutions. We are on track to deliver electronic-photonic integrated circuit (EPIC) chipsets to serve future data center and cloud computing market segments. Our products will include silicon photonics IP, chipsets, and architecture for transforming Internet data centers to make them faster, lower cost, and more space- and energy-efficient. Our technology will deliver up to a 4.5x improvement in size (density), a 3.5x improvement in energy efficiency, and a 2x improvement in latency versus currently available networking components. Our optical switching chipsets will enable data center operators to offer improved, faster, and more secure services to their customers with even higher scalability and efficiency.We are seeking a Photonics Layout Intern to join our technical team, tasked with creating layouts for silicon photonics and photonic integrated circuits. The successful applicant will undertake the design and verification of photonic circuits and device layouts. This part-time position is ideally suited for a fourth-year undergraduate or graduate student. The candidate will be expected to work two days per week, with additional hours required as project deadlines approach.The position is in sunny San Diego.
Qualifications:Undergraduate or graduate student in Electrical Engineering, CS, Physics, or related field.Proficiency and experience in Python are MUST.Able to work independently as well as effectively as part of a team.Have strong communication and interpersonal skills.
Preferred Additional QualificationsExperience with layout software (KLayout, etc.)Some knowledge of photonics.
Appropriate candidates: Please send your resume to yossi@axalume.com.",entry_title_not_entry
3480552482,Summer Intern for Women International Company,Women choice,,"“These are the hard times in which genius should wish to live…great necessities call forth great leaders.” ~Abigail Adams 
If this sounds interesting to you…keep reading! 
Our Women's Leadership Internship is designed for students who are eager to make a difference in the realm of women's empowerment and who are:- Enrolled in Gender Studies, Leadership, or related fields. - Driven by a deep passion for gender equality and leadership. - Skilled communicators and team players.- Proficient in digital tools. 
KEY RESPONSIBILITIES● ⁠Participate in the planning and implementation of women's empowerment and leadership programs.● ⁠Engage with program participants and partners to facilitate and support activities that promote leadershipdevelopment.● ⁠Assist in organizing events, seminars, and workshops focused on women's leadership and empowerment.● Conduct research on best practices for fostering gender equality and women's participation in leadershiproles.● Contribute to the creation of content for social media, newsletters, and other communication channels tohighlight the impact of our programs.● ⁠Work closely with the Women Choice team to evaluate program effectiveness and suggest improvements.● ⁠AND sees self as life-learner, good command of English, detail oriented, enjoys brainstorming and working collaboratively. 
EXTRA BENEFITS: free attendance to all programs
HOW TO APPLYPlease submit your resume along with a cover letter detailing your interest in the Women's Leadership Internship andhow you believe you can contribute to Women Choice's mission. Applications should be sent to:m.risa@womenchoice.org.
Women Choice is committed to creating an inclusive workplace and strongly encourages applications from allqualified individuals, including those from diverse backgrounds.C

",entry_title_not_entry
3638272617,URGENT!! Influencer Marketing Intern (100% WFH),Acadium,,"Calling All Influencer Marketing Interns Out There!!!
Acadium is seeking the following positions who are enthusiastic, hard-working freelancers to give support to CEOs, Founders, VP of Marketing, Coaches, and/or Director of Marketing and help scale up their business projects.
We are looking for Influencer Interns to voluntarily work with CEOs, Founders, VP of Marketing, Coaches, and/or Director of Marketing and help scale up their business projects. In exchange, these mentors will provide feedback and guidance to help you enhance your career trajectory in digital marketing.
The program is a 3-month remote internship where you will assist in fulfilling various digital marketing projects for your mentor's business for 10 hours per week.
What’s In It For You?It’s (100%) fully remote position and offers flexibility in schedule.You’ll have clear goals and the training resources you need to deliver. Access our free courses on the platform that you can finish at your own pace.1 to 2 hours of mentorship every week.Issued certification upon successfully completing the program.Boost your portfolio and grow your professional networkGet to utilize and elevate your digital marketing skills in real projects
About us:Acadium started with the belief that anyone, anywhere, should be able to get the skills and experience they need to start their career without barriers like price, schedule, or location getting in their way. Acadium gives anyone the tools, support, and mentorship they need to launch their dream career. Acadium is the only platform that provides real work experience, accessible to everyone. Acadium began in 2017 with a team of 3 co-founders: Richard Shaw, Marco Tundo, and Moe Abbas. Since then, they’ve attracted more than 120,000 student members and over 50,000 businesses to connect through the apprenticeship marketplace. Our team is growing and looking for people who are motivated, intelligent, and committed to making education accessible to join our team.
What We Value:Integrity - Be trustworthy in your actionsCare - Treat your teammates and our community as you would want to be treatedCuriosity - Ask questions. Always state your assumptionsTenacity - Persevere when times are toughDiscipline - Be consistent in your actionsAmbition - Aspire to become better every dayService -Serve your community to the best of your abilities.
What You'll Do:Develop and execute influencer marketing strategies and creative campaignsIdentify and build relationships with prominent influencers and thought leaders Sharing all the important information and links via social media.Connecting to the brand and potential target audience across various social networking platforms.
We believe representation matters at Acadium and strongly encourage people of color, members of the LGBTQ+ community, veterans, those with disabilities, and individuals from other underrepresented groups to apply. Furthermore, by submitting your interest in this job, you agree to receive email notifications or messages from us with additional steps to complete your application.
Check with your school's Internship Coordinator BEFORE accepting the hiring offer to determine if this position satisfies the criteria for receiving academic credit.
",entry_title_not_entry
3706460061,Admininistrative Assistant Intern,Sharper Office Admin ,,"Company Description
Sharper Office Admin provides business consultation and administrative services for Small, Medium, and Large companies both virtually and in-person. We offer our clients intuitive guidance to reform their operations, and support their business. We are committed to being an important ally to every organization that wants to invest in change and improvement and needs help in deciding where and how.
Role Description
This is an Administrative Assistant Internship role at Sharper Office Admin for which we are looking for a proactive individual with a positive attitude to join our team. The role includes assisting management with day-to-day administrative tasks, which will include scheduling appointments and meetings, taking minutes, entering data, and maintaining records. The internship is remote, and you can work from anywhere.
Qualifications
Currently enrolled in an Administration program at a university or college.Proficient in Microsoft office, Google Suite, and attention to detail.Excellent verbal and written communication skillsAbility to handle confidential information and maintain discretion.Flexible, proactive and able to work in a fast-paced environment.Experience working in an administrative role is a plus but not mandatory",entry_title_not_entry
3728879926,Sales and Marketing Assistant (Graduate),Pier,,"Join Our Team as an Entry-Level Sales and Marketing Assistant!
Are you a recent graduate eager to jump-start your career in sales and marketing? Do you thrive in fast-paced environments and enjoy working with a dynamic team? If so, we have an exciting opportunity for you!
Pier Events is a leading Experiential Marketing company dedicated to delivering innovative solutions to our clients. With a focus on creativity, collaboration, and customer satisfaction, we are committed to driving growth and success for our clients and employees alike.

Job Description:
As an Entry-Level Sales and Marketing Assistant, you will play a key role in supporting our sales and marketing teams in various initiatives. This position offers an excellent opportunity to gain hands-on experience in both sales and marketing functions while learning from seasoned professionals in the field. You will have the chance to work on exciting projects, develop valuable skills, and grow your career in a dynamic industry.
Responsibilities:Assist the sales and marketing teams in day-to-day operations, including administrative tasks, scheduling meetings, and managing correspondence.Conduct market research to identify potential leads and opportunities for business development.Assist in the creation and implementation of marketing campaigns across various channels.Coordinate logistics for events, trade shows, and other promotional activities.Support the sales team in prospecting, lead generation, and follow-up activities.Prepare sales presentations, proposals, and reports for internal and external stakeholders.Maintain accurate records of sales and marketing activities using CRM software.
Qualifications:Bachelor's degree in Marketing, Business Administration, or related field.Strong communication and interpersonal skills.Highly organized with excellent attention to detail.Ability to multitask and prioritize tasks effectively in a fast-paced environment.Proficiency in Microsoft Office suite (Word, Excel, PowerPoint).Previous internship or work experience in sales or marketing is a plus, but not required.Enthusiasm for learning and a proactive attitude.
Benefits:Competitive salary and benefits package.Opportunities for professional development and growth.Collaborative and supportive work environment.Exposure to diverse projects and opportunities to make an impact from day one.If you are passionate about sales and marketing, eager to learn, and ready to take the next step in your career, we want to hear from you! Join our team and embark on an exciting journey with Pier Events. Apply now with your resume and cover letter, and let's shape the future together.
",entry_title_not_entry
3771168117,Digital Marketing Intern,Red Krypton,,"Overview
Red Krypton is seeking 3-5 driven interns to join our team this summer. You'll have the opportunity to get your hands dirty, contributing to real projects and engaging with RK’s clients. 
You will be given a customized role based on your skills, interests, and career goals. This could involve developing marketing messaging for high-profile clients, participating in brand development discussions for early-stage startups, or helping to develop the structure and mission of a new venture fund. Your work will be diverse and engaging, and you'll have the chance to gain valuable, hands-on experience on a daily basis. 
Throughout your internship, you'll be paired with a mentor who will provide guidance and support as you take on new challenges. You'll also have the opportunity to meet and learn from each member of our small, tight-knit team and be exposed to a diverse range of skill sets and projects across the company. 
We are looking for motivated and passionate team members who are willing to roll up their sleeves, learn new skills, and thrive in a fast-paced, collaborative environment. Ideal candidates possess a drive for growth, a desire to continuously learn and self-teach, and the ability to take initiative and operate as self-starters.
Role & Responsibilities
Work closely with cross-functional teams, including leadership, strategists, designers, and developers, managing time effectively across several projectsCollaborate on projects ranging from direct-to-consumer ecommerce strategy, customer experience, acquisition & retention strategy, social media management & community building, investor relations, and moreActively contribute ideas and insights during internal team meetings and brainstorming sessionsAssist with account management, participating in client meetings and helping to oversee and track objectives and priorities across accounts Assist in the planning, coordination, and execution of marketing campaignsAssist in creating and implementing engaging and compelling content for various marketing channels, including social media, blogs, email campaigns, and moreSupport the planning and execution of social media strategies to increase brand visibility and engagementConduct research on industry trends, competitor activities, and customer preferencesCompile and analyze data to generate insights that inform marketing strategies, across digital channels including social, email, editorial, etc. 
Qualifications
Open to current Juniors and Seniors only Currently pursuing a degree in Marketing, Business, Communication, or a related field.Strong communication skills, both written and verbal.Experience in developing a clear, throughout marketing plan for a brand campaign Excellent time management and organizational skills, with the ability to handle multiple projects simultaneouslyAbility to analyze and present data, making recommendations for improvementPassion for growth and development, willingness to learn new hard and soft skills, and ability to self-teach Proficient in Microsoft Office and Google Suite.Ability to multitask, prioritize, and meet deadlines in a fast-paced environment.
 ",entry_title_not_entry
3776631402,Creative Development Intern,EverWonder Studio,,"EverWonder Studio is seeking CREATIVE DEVELOPMENT INTERNS for the summer term! 
ResponsibilitiesOur interns will help our dev team in fleshing out new nonfiction features, docuseries, formats, and more through brainstorms, research, coverage, and writing. 
QualificationsThe ideal candidate for this internship is a curious and quick learner with strong writing skills and storytelling instincts. We are also looking for candidates who are deeply engaged with pop culture, sports and current events. Previous writing experience is required. 
Compensation, Schedule & LocationThe pay is $18/hr for 3-4 days a week. The term will be from approximately June to September. Our team will be in-office in midtown Manhattan - this position is in person.
To ApplyTo apply, submit a resume, cover letter, and writing sample to communications@everwonder.studio with the subject line “2024 Summer EverWonder Internship Application.” In your cover letter, please explain why you are interested in this position and why you think you are ready for it. Please submit a nonfiction writing sample (*not a script*) that showcases strong, compelling writing.
About EverWonder StudioEverWonder Studio is a new independent content studio led by Emmy and Peabody Award-winning producer Ian Orefice – the former President of TIME and TIME Studios –and backed by RedBird Capital Partners and Jeff Zucker – the former President of NBC Universal, CNN, and Turner Sports.",entry_title_not_entry
